"Genus_species","Sex_Dim","Food_resource_defendable","Movement_zero_center.fact","Between.Conflict_zero_center.fact","Primate"
"Capra_aegagrus",3.33,0,"Female-biased",NA,0
"Ovibos_moschatus",1.28,0,"Female-biased",NA,0
"Orcinus_orca",1.55,0,"Female-biased",NA,0
"Stenella_longirostris",1.07,0,"Unbiased",NA,0
"Tursiops_truncatus",1.2,0,"Male-biased","Male-biased",0
"Canis_aureus",1.2,0,"Male-biased",NA,0
"Canis_lupus",1.3,1,"Unbiased","Male-biased",0
"Lycaon_pictus",1,1,"Unbiased",NA,0
"Speothos_venaticus",1,1,"Unbiased",NA,0
"Panthera_leo",1.28,1,"Female-biased","Unbiased",0
"Panthera_leo",1.28,1,NA,"Male-biased",0
"Helogale_parvula",1,0,"Female-biased","Male-biased",0
"Mungos_mungo",1.03,0,"Female-biased","Female-biased",0
"Suricata_suricatta",1.09,0,"Female-biased","Male-biased",0
"Crocuta_crocuta",0.9,1,"Female-biased","Female-biased",0
"Pteronura_brasiliensis",1.12,1,"Female-biased","Unbiased",0
"Equus_caballus",1,0,"Female-biased","Male-biased",0
"Equus_ferus",1.03,0,"Female-biased",NA,0
"Equus_quagga",1.03,0,"Female-biased","Male-biased",0
"Alouatta_caraya",1.48,0,"Unbiased",NA,1
"Alouatta_palliata",1.32,0,"Female-biased","Male-biased",1
"Alouatta_pigra",1.34,0,"Female-biased","Unbiased",1
"Ateles_geoffroyi",0.98,1,NA,"Male-biased",1
"Callithrix_jacchus",0.98,1,NA,"Unbiased",1
"Callithrix_penicillata",1.12,1,NA,"Unbiased",1
"Leontocebus_fuscicollis",0.97,0,"Male-biased",NA,1
"Saguinus_mystax",0.96,0,"Female-biased",NA,1
"Sapajus_apella",1.52,0,"Unbiased",NA,1
"Cebus_capucinus",1.45,0,"Female-biased","Male-biased",1
"Cebus_olivaceus",1.29,0,NA,"Male-biased",1
"Saimiri_oerstedii",1.32,0,"Female-biased",NA,1
"Chlorocebus_pygerythrus",1.44,0,"Female-biased","Unbiased",1
"Cercopithecus_ascanius",1.32,1,NA,"Male-biased",1
"Cercopithecus_mitis",1.49,1,NA,"Female-biased",1
"Cercopithecus_mitis",1.49,1,NA,"Female-biased",1
"Colobus_guereza",1.25,0,NA,"Male-biased",1
"Colobus_polykomos",1.19,0,NA,"Male-biased",1
"Colobus_vellerosus",1.23,0,NA,"Male-biased",1
"Macaca_fuscata",1.37,0,"Unbiased","Male-biased",1
"Macaca_maura",1.61,1,NA,"Male-biased",1
"Macaca_mulatta",1.41,0,"Male-biased","Male-biased",1
"Macaca_nigra",1.81,1,NA,"Male-biased",1
"Macaca_radiata",1.79,1,"Male-biased","Male-biased",1
"Macaca_sylvanus",1.45,0,"Male-biased","Male-biased",1
"Macaca_tonkeana",1.66,1,"Unbiased",NA,1
"Mandrillus_sphinx",2.69,0,"Female-biased",NA,1
"Papio_anubis",1.73,0,"Unbiased",NA,1
"Papio_cynocephalus",1.77,0,"Male-biased","Male-biased",1
"Papio_hamadryas",1.71,0,"Male-biased",NA,1
"Papio_papio",1.92,0,"Unbiased","Male-biased",1
"Papio_ursinus",2.01,0,"Male-biased","Male-biased",1
"Procolobus_kirkii",1.03,0,NA,"Male-biased",1
"Trachypithecus_pileatus",1.22,0,NA,"Male-biased",1
"Presbytis_thomasi",1.01,0,NA,"Male-biased",1
"Rhinopithecus_roxellana",1.54,0,"Female-biased","Female-biased",1
"Sapajus_nigritus",1.09,0,NA,"Male-biased",1
"Theropithecus_gelada",1.62,0,"Female-biased","Unbiased",1
"Lophocebus_albigena",1.31,1,NA,"Male-biased",1
"Phaner_furcifer",0.93,1,"Female-biased",NA,1
"Gorilla_beringei",1.67,0,"Male-biased","Male-biased",1
"Gorilla_gorilla",2.24,0,NA,"Male-biased",1
"Pan_paniscus",1.36,0,"Female-biased","Male-biased",1
"Pan_troglodytes",1.27,0,"Unbiased","Male-biased",1
"Hylobates_agilis",0.91,1,NA,"Male-biased",1
"Hylobates_lar",1.1,1,"Female-biased","Male-biased",1
"Hylobates_moloch",1.05,1,NA,"Male-biased",1
"Indri_indri",0.85,0,"Female-biased","Unbiased",1
"Propithecus_edwardsi",0.95,0,"Female-biased",NA,1
"Propithecus_verreauxi",1.01,0,"Female-biased","Male-biased",1
"Eulemur_fulvus",0.91,0,"Female-biased","Male-biased",1
"Hapalemur_griseus",1.1,0,NA,"Male-biased",1
"Lemur_catta",1,0,"Female-biased","Female-biased",1
"Varecia_variegata",1.03,1,"Female-biased","Female-biased",1
